planning_unit,policy,reorder_point,order_quantity,safety_stock,days,units_demanded,units_shipped,units_lost,stockout_days,orders_placed,cycles,cycles_with_stockout,mean_on_hand,holding_cost,ordering_cost,total_cost,fill_rate,stockout_day_rate,realised_cycle_service_level
Columbia Men's PFG Anchor Tough T-Shirt,segmented,9.727133119675251,198.75658243738775,5.512603536393761,250,108.0,108.0,0.0,0,1,1,0,148.9822690122865,497.4579187910252,250.0,747.4579187910251,1.0,0.0,1.0
Columbia Men's PFG Anchor Tough T-Shirt,demand_only,9.3824701551518,198.75658243738775,5.167940571870311,250,108.0,108.0,0.0,0,1,1,0,148.63760604776303,496.3070749882499,250.0,746.30707498825,1.0,0.0,1.0
Columbia Men's PFG Anchor Tough T-Shirt,flat_baseline,6.321794374922234,198.75658243738775,2.1072647916407448,250,108.0,108.0,0.0,0,1,1,0,145.57693026753347,486.0873527768669,250.0,736.087352776867,1.0,0.0,1.0
Nike Women's Tempo Shorts,segmented,9.328599334117575,193.61715956121955,5.329209349982654,250,96.0,96.0,0.0,0,1,1,0,138.50281446651957,462.4665894001938,250.0,712.4665894001938,1.0,0.0,1.0
Nike Women's Tempo Shorts,demand_only,9.007934675322588,193.61715956121955,5.008544691187668,250,96.0,96.0,0.0,0,1,1,0,138.1821498077246,461.39587692647774,250.0,711.3958769264777,1.0,0.0,1.0
Nike Women's Tempo Shorts,flat_baseline,5.999084976202381,193.61715956121955,1.9996949920674605,250,96.0,93.80766475681216,2.1923352431878413,1,1,1,1,136.82193621148164,456.85406782943363,250.0,706.8540678294337,0.9771631745501267,0.004,0.0
Nike Men's Deutschland Weltmeister Winners Bl,segmented,9.704118423581729,197.97458629391352,5.522687240168943,250,67.0,67.0,0.0,0,0,0,0,31.355411570538504,104.69700781258575,0.0,104.69700781258575,1.0,0.0,
Nike Men's Deutschland Weltmeister Winners Bl,demand_only,9.36568416948926,197.97458629391352,5.184252986076475,250,67.0,67.0,0.0,0,0,0,0,31.016977316446003,103.56696192991389,0.0,103.56696192991389,1.0,0.0,
Nike Men's Deutschland Weltmeister Winners Bl,flat_baseline,6.272146775119179,197.97458629391352,2.090715591706393,250,67.0,67.0,0.0,0,0,0,0,27.923439922075936,93.23751343843848,0.0,93.23751343843848,1.0,0.0,
Team Golf St. Louis Cardinals Putter Grip,segmented,10.050393467048536,224.36895730569086,5.576593084795541,250,67.0,67.0,0.0,0,0,0,0,22.338872119893963,62.133812660930865,0.0,62.133812660930865,1.0,0.0,
Team Golf St. Louis Cardinals Putter Grip,demand_only,9.665173026420401,224.36895730569086,5.191372644167408,250,67.0,67.0,0.0,0,0,0,0,21.953651679265832,61.06235235789104,0.0,61.06235235789104,1.0,0.0,
Team Golf St. Louis Cardinals Putter Grip,flat_baseline,6.7107005733794916,224.36895730569086,2.236900191126497,250,67.0,67.0,0.0,0,0,0,0,18.99917922622492,52.844720020686175,0.0,52.844720020686175,1.0,0.0,
Team Golf Pittsburgh Steelers Putter Grip,segmented,9.512393472952425,216.48400725422846,5.34751148947399,250,101.0,101.0,0.0,0,1,1,0,157.93384188785745,439.2805371736821,250.0,689.2805371736821,1.0,0.0,1.0
Team Golf Pittsburgh Steelers Putter Grip,demand_only,9.164972967992844,216.48400725422846,5.000090984514409,250,101.0,101.0,0.0,0,1,1,0,157.58642138289787,438.31421441334453,250.0,688.3142144133445,1.0,0.0,1.0
Team Golf Pittsburgh Steelers Putter Grip,flat_baseline,6.247322975217653,216.48400725422846,2.0824409917392175,250,101.0,101.0,0.0,0,1,1,0,154.66877139012269,430.19900084802686,250.0,680.1990008480268,1.0,0.0,1.0
Team Golf Tennessee Volunteers Putter Grip,segmented,9.759289673487283,220.3209112203709,5.445464890599686,250,68.0,68.0,0.0,0,0,0,0,41.70774528367272,116.00680723973117,0.0,116.00680723973117,1.0,0.0,
Team Golf Tennessee Volunteers Putter Grip,demand_only,9.392840178895973,220.3209112203709,5.079015396008376,250,68.0,68.0,0.0,0,0,0,0,41.34129578908142,114.98755684407884,0.0,114.98755684407884,1.0,0.0,
Team Golf Tennessee Volunteers Putter Grip,flat_baseline,6.470737174331395,220.3209112203709,2.1569123914437984,250,68.0,68.0,0.0,0,0,0,0,38.419192784516845,106.85995757733392,0.0,106.85995757733392,1.0,0.0,
Team Golf Texas Longhorns Putter Grip,segmented,8.989044265354714,209.7854965863179,5.0779166808696665,250,102.0,102.0,0.0,0,1,1,0,151.64448599142474,421.787189303229,250.0,671.7871893032291,1.0,0.0,1.0
